Out-degree strong,Betweeness strong
1,0.0009432232693266212
14,0.00030586183399356154
25,0.007167969446302206
8,0.02972259559934379
16,1.7325757382997506e-05
2,0.0010167104849624813
16,0.00168510015226984
1,0.00011862500505025303
17,0.002296464605367309
7,1.7361338956722992e-05
11,0.0010392221147884951
47,0.010741826118554548
6,7.546569346122801e-05
7,0.00014022884978937727
6,0.0
5,6.201266434780576e-05
68,0.001419528128908481
4,1.5350668279287756e-06
4,0.0008162392397026151
1,9.593349016351421e-06
2,0.0003870489655830254
3,4.700683408633451e-06
5,0.0011721218243781629
14,0.00022926475214009946
34,0.0005086467361877482
30,0.0005382855173624525
4,1.4470122667410081e-07
15,0.00031842651506374536
24,0.0016576423091400334
1,0.017684407089331507
1,0.00025661918181209644
31,0.001144921685184222
1,0.0
2,0.0012414723480492064
6,2.3486659690728854e-05
66,0.002384586257391389
4,6.813092135630844e-05
25,0.0024877492526444497
37,0.00035245432261914395
9,2.43946477692931e-05
4,0.0
3,6.29443293973856e-05
4,0.0005980094529948308
1,0.0
6,6.943374522896458e-07
52,0.0005816207750657698
22,8.863912317815506e-06
21,0.0035426543376655363
42,5.3307475758371285e-06
4,0.00036760749396468013
2,4.2040056433803256e-06
2,0.00016883832810956495
28,0.003618259159319213
57,2.4822280237459083e-05
5,0.00017403627566316121
24,0.00017011907377531676
60,0.001732045185187058
2,1.4234544322604195e-06
11,0.0
36,0.0012614028985966914
10,0.0005491302927329029
3,4.237292205169038e-05
2,0.0005077037455683498
4,1.0161996084267055e-06
19,0.001048681338574024
7,0.007162629249204254
7,0.0010969842085614778
4,0.0005147353314026145
16,0.0009753289284430906
19,0.0017034536717835532
1,2.477553059897192e-06
1,0.00200109451350663
4,1.0778466552549904e-06
18,0.0026770833997442943
3,6.159981304463412e-05
22,0.001227802999412623
20,0.0042101039916180305
3,0.0015735884817792158
2,0.0007485963252655178
2,0.0004028004351988912
3,2.246814325358658e-06
6,0.000111850462185323
9,0.00015810876891186429
51,0.0009686060290626515
31,0.0003903422257414554
2,1.1110337516620454e-06
7,0.000903441147656446
2,0.0
20,4.3566148673130445e-06
11,0.001035495575895801
1,0.0
32,0.003608273867351485
6,0.00047033145175449356
5,0.0010174493566829194
12,0.0002512093628384166
10,0.002010202724908095
16,1.8016425361593603e-06
48,3.270505187884631e-05
5,0.0005076294427153727
1,3.7027865711403636e-06
1,0.0
6,1.1868423844380792e-07
8,7.73155488343946e-05
1,0.0005716287947958583
25,0.0013254974088475343
1,0.0
27,0.00014426028230376872
34,0.0009624653425504285
5,8.119871294997152e-07
2,5.040506990538954e-06
3,3.3117173182783066e-06
3,9.903400121863261e-06
1,7.84132804479112e-06
8,0.00015368825984289177
37,0.0024719911781330432
17,0.006998599408476276
41,0.004898087705850535
8,9.470304009535262e-05
49,0.0021199808278790865
1,9.12928147932445e-05
4,1.018872165112299e-05
19,7.14877908171196e-05
2,1.906814128422976e-06
7,0.00018468984312176178
2,3.714193420254753e-06
3,0.00020603780035184215
7,4.402414396625124e-06
2,0.0
6,0.01798759293460892
2,5.0635856016567463e-05
18,0.0006670262758620601
2,8.896900355800093e-07
38,8.179991371440395e-08
4,3.487863333858845e-07
63,0.010833049886426511
6,0.00047039871215096745
1,0.0
14,0.004104812716912925
1,2.1398426244032896e-06
15,0.00016525480035096103
17,6.989010692064683e-05
2,3.990808287936294e-05
6,6.4741927932946804e-06
60,0.005027282406240184
2,0.00016835622973755638
3,2.3849880296803308e-05
36,0.007679698061603015
1,1.4126787895740699e-06
4,0.00011156339230113131
8,9.91861135566109e-07
5,0.0
3,5.694168707524384e-05
22,0.0038611164366007212
3,2.906552778215704e-07
4,0.0003106336408069586
5,7.457264209724005e-06
5,3.377001246244742e-05
25,0.007214296005829541
2,0.0005707326644133709
1,0.0
85,0.007643021873297522
2,2.589543804703931e-05
1,0.0004125271544499459
23,0.002569475141928679
17,2.6084448009628115e-08
3,2.670304040104733e-06
5,6.81467376473402e-05
12,3.307274702243163e-05
10,0.001407089105935922
