Out-degree strong,Betweeness strong
3,0.0
16,0.0065422131336007995
5,0.0003935759507523883
20,3.662256500551787e-07
2,0.0007788261878215611
24,0.0004483576573747619
17,1.9062552562188076e-06
4,3.2812914319724753e-07
38,0.0004839576762356205
4,6.458971010953839e-06
3,0.00021188729514452304
11,0.006987241727791368
11,0.0031417945897487033
5,0.00011948105964262163
7,0.002097881683030158
3,0.00014771947237560926
2,4.577820625689734e-06
2,0.006964705844019891
1,0.0
16,0.003067106754905605
1,1.5622721182909412e-07
38,8.852192333149812e-05
3,0.0010255501918459819
10,8.930108339822351e-05
7,0.0005090140921638839
13,0.006749281405618584
10,0.0010765486581230188
41,0.01129714724184419
2,0.0
6,5.479149729585453e-07
3,6.593821559891751e-05
100,0.0013642194771789947
35,0.003151903036157914
5,2.5514206282191046e-05
29,0.0005099107748702878
31,0.008895897419319872
6,0.0
69,0.0029991477485144516
3,0.0013560444364453957
6,8.630039623985462e-06
9,0.0
3,9.362727724184876e-07
5,0.0005116907747496665
13,9.113254023363822e-07
1,5.875866713902981e-06
6,0.00023961371518541015
6,7.26638194553926e-08
4,0.0036435381654931712
24,0.008036287657456575
7,0.0008004354028956493
3,7.23737014050133e-06
37,0.0017911160088523656
1,0.0004921196182356297
6,0.0002035644629777156
12,0.0008795381788699331
17,0.00013650786722771438
14,1.8533686743683134e-07
4,0.004758345454767639
7,0.0002364666136187045
